speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Boampong-009_mono,?di,i,open,0.15497,256,2174,2858,male
Vincent-019_mono,ad??,3,open,0.15846,419,2151,3168,male
Yaw-007_mono,s?,3,open,0.11268,398,1851,2335,male
Precious-015_mono,?b?,2,open,0.09845,518,2281,2900,female
OKRAH-08,?b?,2,open,0.1371,534,1897,2549,male
Yaw-007_mono,?du,u,open,0.09896,249,935,1914,male
Jane-022_mono,?p?,4,open,0.1416,399,763,2896,female
Eric-020_mono,obi,o,closed,0.11265,313,672,2214,male
Eric-020_mono,ko,o,open,0.12625,440,1394,2074,male
Eric-020_mono,?p?,1,open,0.11599,442,717,2235,male
Eric-020_mono,k?,1,open,0.11821,635,944,1951,male
Sly-022,fa,a,open,0.17491,713,1388,2116,male
Attah-021_mono,fa,a,open,0.10206,800,1393,2541,male
Yaw-007_mono,ad??,3,open,0.0993,410,2130,2667,male
FELIX-02_mono,f?,3,open,0.14803,416,1885,2640,male
Boampong-009_mono,f?,3,open,0.10578,406,1869,2253,male
Attah-021_mono,?b?,2,open,0.14213,540,1790,2600,male
Naura-017_mono,ad??,a,closed,0.15508,632,1407,1933,female
Vincent-019_mono,obi,i,open,0.12619,255,2176,3333,male
Osei-016_mono,?b?,2,closed,0.06619,548,1864,2547,male
Attah-021_mono,?p?,2,closed,0.07027,553,1615,2538,male
Attah-021_mono,ebi,i,open,0.13017,257,2182,2988,male
FELIX-02_mono,?p?,2,closed,0.09144,554,1701,2372,male
Sly-022,?b?,2,closed,0.1145,561,2131,2324,male
Eric-020_mono,f?,3,open,0.12024,417,2112,2470,male
Jane-022_mono,hu,u,open,0.16988,288,963,2343,female
Osei-016_mono,t?,4,open,0.13915,485,783,2355,male
Yaw-007_mono,da,a,open,0.14993,667,1417,2369,male
Boampong-009_mono,obi,i,open,0.10293,256,2187,3011,male
Moses-012_mono,f?,3,open,0.16321,476,2119,2376,male
OKRAH-08,f?,3,open,0.14976,415,1913,2444,male
Eunice-008_mono,?p?,2,closed,0.08618,526,2049,2520,female
Eunice-008_mono,?b?,2,closed,0.09253,527,2225,2681,female
Naura-017_mono,?du,u,open,0.13559,215,996,2571,female
Moses-012_mono,?p?,1,open,0.15849,579,1360,2556,male
Moses-012_mono,k?,1,open,0.19847,617,1036,2027,male
Moses-012_mono,obi,o,closed,0.10575,357,1070,2307,male
Moses-012_mono,ko,o,open,0.22759,461,1411,2332,male
Vincent-019_mono,t?,4,open,0.09758,449,793,2030,male
OKRAH-08,fa,a,open,0.12834,706,1426,2293,male
Attah-021_mono,ad?,a,closed,0.09172,734,1439,2330,male
Osei-016_mono,f?,3,open,0.11703,383,1865,2442,male
Attah-021_mono,f?,3,open,0.13961,455,1803,2556,male
Vincent-019_mono,f?,3,open,0.11072,401,1995,2813,male
Sly-022,ab?,2,open,0.09883,563,2029,2629,male
Yaw-007_mono,fa,a,open,0.1173,714,1454,2394,male
Sly-022,ebi,i,open,0.11307,270,2194,2765,male
Yaw-007_mono,ab?,2,open,0.08621,568,1617,2642,male
Osei-016_mono,ab?,2,open,0.09218,575,1719,2872,male
Attah-021_mono,obi,i,open,0.12694,223,2205,3158,male
Sly-022,?p?,2,closed,0.105,590,1713,2139,male
