name,Frequency,Intensity
blow,5297.16796875,-17.61964369820171
blow,5307.9345703125,-12.401448554385679
blow,5318.701171875,-12.329990042563107
blow,5329.4677734375,-10.68130383646685
blow,5340.234375,-11.48346634865878
blow,5351.0009765625,-16.985616558265
blow,5361.767578125,-17.549402880287413
blow,5372.5341796875,-21.527986981352957
blow,5383.30078125,-19.670124790259585
blow,5394.0673828125,-16.715161247518306
blow,5404.833984375,-11.679984565361497
blow,5415.6005859375,-17.54709936323939
blow,5426.3671875,-26.3139387548162
blow,5437.1337890625,-12.85035945021847
blow,5447.900390625,-23.60604642976115
blow,5458.6669921875,-17.800682250546537
blow,5469.43359375,-35.72018955373482
blow,5480.2001953125,-16.593464589717108
blow,5490.966796875,-12.781274709733516
blow,5501.7333984375,-12.569479612984582
blow,5512.5,-15.535883906949643
blow,5523.2666015625,-20.821332754633023
blow,5534.033203125,-33.483195594128794
blow,5544.7998046875,-20.12862354220228
blow,5555.56640625,-23.422541260172316
blow,5566.3330078125,-17.17841158629524
blow,5577.099609375,-10.5068826784424
blow,5587.8662109375,-14.435690285678298
blow,5598.6328125,-30.253911178374643
blow,5609.3994140625,-13.214140747806827
blow,5620.166015625,-10.693214719682587
blow,5630.9326171875,-13.476953897471036
blow,5641.69921875,-9.42358794632821
blow,5652.4658203125,-11.994811853335673
blow,5663.232421875,-29.56836580334013
blow,5673.9990234375,-21.233074277478252
blow,5684.765625,-14.285265093415859
blow,5695.5322265625,-12.132625790685987
blow,5706.298828125,-12.831404517413041
blow,5717.0654296875,-14.54004173805357
blow,5727.83203125,-11.057598952446341
blow,5738.5986328125,-13.085864236980221
blow,5749.365234375,-13.36537345194688
blow,5760.1318359375,-10.666604457802132
blow,5770.8984375,-15.93588264025037
blow,5781.6650390625,-12.42054876118785
blow,5792.431640625,-11.281362116427223
blow,5803.1982421875,-18.89201629856934
blow,5813.96484375,-14.806824560396654
blow,5824.7314453125,-19.78383441791066
blow,5835.498046875,-10.29275603880549
blow,5846.2646484375,-10.356763094643036
blow,5857.03125,-18.02165094253668
blow,5867.7978515625,-16.343228450826615
blow,5878.564453125,-10.000668968424883
blow,5889.3310546875,-6.109518493855576
blow,5900.09765625,-5.641217458404904
blow,5910.8642578125,-29.354261766713815
blow,5921.630859375,-5.954758600817761
blow,5932.3974609375,-2.9722488129476425
blow,5943.1640625,-4.207209774540463
blow,5953.9306640625,-2.703339841361237
blow,5964.697265625,-4.963778831590371
blow,5975.4638671875,-30.5741428058773
blow,5986.23046875,-11.085738822265593
blow,5996.9970703125,-10.587624588143829
blow,6007.763671875,-13.856782375670367
blow,6018.5302734375,-12.153794085219655
blow,6029.296875,-12.400420231660105
blow,6040.0634765625,-13.459940443690579
blow,6050.830078125,-5.90395651325858
blow,6061.5966796875,-8.579093475750932
blow,6072.36328125,-14.544342620946972
blow,6083.1298828125,-19.49697079009957
blow,6093.896484375,-10.941681593050347
blow,6104.6630859375,-12.454221961438032
blow,6115.4296875,-19.909919317186123
blow,6126.1962890625,-15.35198282900227
blow,6136.962890625,-7.479431446668226
blow,6147.7294921875,-13.468163943133693
blow,6158.49609375,-11.424997201179906
blow,6169.2626953125,-16.453885735178943
blow,6180.029296875,-19.509151356950394
blow,6190.7958984375,-11.57898538441252
blow,6201.5625,-11.390040264200628
blow,6212.3291015625,-12.363948683820475
blow,6223.095703125,-13.157257457649024
blow,6233.8623046875,-17.357401878478147
blow,6244.62890625,-30.157389267258196
blow,6255.3955078125,-13.000510208260556
blow,6266.162109375,-15.185029378457404
blow,6276.9287109375,-14.317666555024877
blow,6287.6953125,-17.45177884113964
blow,6298.4619140625,-24.179754022613864
blow,6309.228515625,-15.963197162749987
blow,6319.9951171875,-14.693755177124878
blow,6330.76171875,-19.014258015879964
blow,6341.5283203125,-15.345302213323578
blow,6352.294921875,-12.739529573252607
blow,6363.0615234375,-21.100276600660507
blow,6373.828125,-22.410534656182307
blow,6384.5947265625,-10.711943370587777
blow,6395.361328125,-9.909817706563855
blow,6406.1279296875,-14.291243450022757
blow,6416.89453125,-16.964317202556426
blow,6427.6611328125,-20.88114340401484
blow,6438.427734375,-26.732350826776145
blow,6449.1943359375,-21.916236160592927
blow,6459.9609375,-24.68561969746736
blow,6470.7275390625,-15.7856998717962
blow,6481.494140625,-21.273375600865783
blow,6492.2607421875,-13.139160458447671
blow,6503.02734375,-15.015061727087154
blow,6513.7939453125,-28.68668736842587
blow,6524.560546875,-17.07861945070244
blow,6535.3271484375,-11.94053771551431
blow,6546.09375,-10.279276611067448
blow,6556.8603515625,-11.926344872848984
blow,6567.626953125,-18.74196895591925
blow,6578.3935546875,-13.218911252776328
blow,6589.16015625,-11.536438811098167
blow,6599.9267578125,-17.29140887219733
blow,6610.693359375,-19.449834813108872
blow,6621.4599609375,-19.650719883985392
blow,6632.2265625,-17.18901209201789
blow,6642.9931640625,-22.15206034759715
blow,6653.759765625,-15.48068673274662
blow,6664.5263671875,-14.923946527495751
blow,6675.29296875,-13.841324083386713
blow,6686.0595703125,-13.657420737570146
blow,6696.826171875,-20.81998575001466
blow,6707.5927734375,-25.381505211611213
blow,6718.359375,-14.46897022051018
blow,6729.1259765625,-10.19933314386284
blow,6739.892578125,-15.275031720761863
blow,6750.6591796875,-24.552944194383358
blow,6761.42578125,-16.20014288869257
blow,6772.1923828125,-18.030204007465965
blow,6782.958984375,-15.260630462126041
blow,6793.7255859375,-11.414632825933479
blow,6804.4921875,-12.706785921458293
blow,6815.2587890625,-20.202311663898904
blow,6826.025390625,-23.827833686393195
blow,6836.7919921875,-24.17065117315453
blow,6847.55859375,-34.271558432483715
