speaker_id,word,vowel_id,duration,F1,F2,F3
Yaw-007_mono,ko,o,0.13229,409,1321,2243
Yaw-007_mono,f?:n?:,44,0.1446,604,1223,2034
Yaw-007_mono,da,a,0.14993,667,1417,2369
Yaw-007_mono,hu,u,0.15386,279,1056,2734
Yaw-007_mono,d?,2,0.16563,512,1634,2510
Yaw-007_mono,k?:,11,0.37808,611,1697,2625
Yaw-007_mono,pi:,i:,0.45455,471,1751,2929
Yaw-007_mono,f?:,33,0.4883,340,2014,2830
Yaw-007_mono,da:,a:,0.52578,606,1321,2474
Yaw-007_mono,d?:,22,0.53199,552,1620,2620
Yaw-007_mono,hu:,u:,0.58046,395,1097,2625
FELIX-02_mono,opete,e,0.192158,NA,NA,NA
FELIX-02_mono,petee,e:,0.435691,NA,NA,NA
Ama-023_mono,opete,e,0.204787,NA,NA,NA
Ama-023_mono,petee,e:,0.442777,NA,NA,NA
Attah-021_mono,opete,e,0.091338,NA,NA,NA
Attah-021_mono,petee,e:,0.521791,NA,NA,NA
Sly-022,opete,e,0.142394,NA,NA,NA
Sly-022,petee,e:,0.571824,NA,NA,NA
Osei-016_mono,opete,e,0.126721,NA,NA,NA
Osei-016_mono,petee,e:,0.478217,NA,NA,NA
Eunice-008_mono,opete,e,0.196721,NA,NA,NA
Eunice-008_mono,petee,e:,0.491345,NA,NA,NA
Mary-018_mono,opete,e,0.198152,NA,NA,NA
Mary-018_mono,petee,e:,0.502671,NA,NA,NA
Naura-017_mono,opete,e,0.214851,NA,NA,NA
Naura-017_mono,petee,e:,0.642011,NA,NA,NA
Cynthia-013_mono,opete,e,0.267217,NA,NA,NA
Cynthia-013_mono,petee,e:,0.589024,NA,NA,NA
Boampong-009_mono,opete,e,0.167678,NA,NA,NA
Boampong-009_mono,petee,e:,0.561098,NA,NA,NA
Jane-022_mono,opete,e,0.075821,NA,NA,NA
Jane-022_mono,petee,e:,0.389542,NA,NA,NA
Vincent-019_mono,opete,e,0.278024,NA,NA,NA
Vincent-019_mono,petee,e:,0.711023,NA,NA,NA
Eric-020_mono,opete,e,0.089546,NA,NA,NA
Eric-020_mono,petee,e:,0.401567,NA,NA,NA
Yaw-007_mono,opete,e,0.145678,NA,NA,NA
Yaw-007_mono,petee,e:,0.675341,NA,NA,NA
